
CAEN Rev.2  (activitati ale economiei nationale), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii persoane, Valoare
H  TRANSPORT SI DEPOZITARE, Total, Ilfov, Anul 2008, Mii persoane, 11.3
H  TRANSPORT SI DEPOZITARE, Total, Ilfov, Anul 2009, Mii persoane, 11.8
H  TRANSPORT SI DEPOZITARE, Total, Ilfov, Anul 2010, Mii persoane, 12.2
H  TRANSPORT SI DEPOZITARE, Total, Ilfov, Anul 2011, Mii persoane, 12.7
H  TRANSPORT SI DEPOZITARE, Total, Ilfov, Anul 2012, Mii persoane, 13.7
H  TRANSPORT SI DEPOZITARE, Total, Ilfov, Anul 2013, Mii persoane, 13.9
H  TRANSPORT SI DEPOZITARE, Total, Municipiul Bucuresti, Anul 2008, Mii persoane, 67.5
H  TRANSPORT SI DEPOZITARE, Total, Municipiul Bucuresti, Anul 2009, Mii persoane, 62.9
H  TRANSPORT SI DEPOZITARE, Total, Municipiul Bucuresti, Anul 2010, Mii persoane, 61.9
H  TRANSPORT SI DEPOZITARE, Total, Municipiul Bucuresti, Anul 2011, Mii persoane, 64.9
H  TRANSPORT SI DEPOZITARE, Total, Municipiul Bucuresti, Anul 2012, Mii persoane, 63.6
H  TRANSPORT SI DEPOZITARE, Total, Municipiul Bucuresti, Anul 2013, Mii persoane, 60.7
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA PATRU, Anul 2008, Mii persoane, 74.2
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA PATRU, Anul 2009, Mii persoane, 74.4
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA PATRU, Anul 2010, Mii persoane, 77
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA PATRU, Anul 2011, Mii persoane, 77.9
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA PATRU, Anul 2012, Mii persoane, 80
H  TRANSPORT SI DEPOZITARE, Total, MACROREGIUNEA PATRU, Anul 2013, Mii persoane, 76.5
H  TRANSPORT SI DEPOZITARE, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Mii persoane, 32.4
H  TRANSPORT SI DEPOZITARE, Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Mii persoane, 32.8
H  TRANSPORT SI DEPOZITARE, Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Mii persoane, 34
H  TRANSPORT SI DEPOZITARE, Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Mii persoane, 34.6
H  TRANSPORT SI DEPOZITARE, Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Mii persoane, 35.3
H  TRANSPORT SI DEPOZITARE, Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Mii persoane, 33.1
H  TRANSPORT SI DEPOZITARE, Total, Dolj, Anul 2008, Mii persoane, 10.3
H  TRANSPORT SI DEPOZITARE, Total, Dolj, Anul 2009, Mii persoane, 10.8
H  TRANSPORT SI DEPOZITARE, Total, Dolj, Anul 2010, Mii persoane, 11
H  TRANSPORT SI DEPOZITARE, Total, Dolj, Anul 2011, Mii persoane, 11.1
H  TRANSPORT SI DEPOZITARE, Total, Dolj, Anul 2012, Mii persoane, 11
H  TRANSPORT SI DEPOZITARE, Total, Dolj, Anul 2013, Mii persoane, 10.4
H  TRANSPORT SI DEPOZITARE, Total, Gorj, Anul 2008, Mii persoane, 5.3
H  TRANSPORT SI DEPOZITARE, Total, Gorj, Anul 2009, Mii persoane, 5.3
H  TRANSPORT SI DEPOZITARE, Total, Gorj, Anul 2010, Mii persoane, 5.5
H  TRANSPORT SI DEPOZITARE, Total, Gorj, Anul 2011, Mii persoane, 5.5
H  TRANSPORT SI DEPOZITARE, Total, Gorj, Anul 2012, Mii persoane, 5.5
H  TRANSPORT SI DEPOZITARE, Total, Gorj, Anul 2013, Mii persoane, 5.3
H  TRANSPORT SI DEPOZITARE, Total, Mehedinti, Anul 2008, Mii persoane, 4.8
H  TRANSPORT SI DEPOZITARE, Total, Mehedinti, Anul 2009, Mii persoane, 4.5
H  TRANSPORT SI DEPOZITARE, Total, Mehedinti, Anul 2010, Mii persoane, 4.4
H  TRANSPORT SI DEPOZITARE, Total, Mehedinti, Anul 2011, Mii persoane, 4.6
H  TRANSPORT SI DEPOZITARE, Total, Mehedinti, Anul 2012, Mii persoane, 4.7
H  TRANSPORT SI DEPOZITARE, Total, Mehedinti, Anul 2013, Mii persoane, 4.2
H  TRANSPORT SI DEPOZITARE, Total, Olt, Anul 2008, Mii persoane, 5.3
H  TRANSPORT SI DEPOZITARE, Total, Olt, Anul 2009, Mii persoane, 5.4
H  TRANSPORT SI DEPOZITARE, Total, Olt, Anul 2010, Mii persoane, 5.6
H  TRANSPORT SI DEPOZITARE, Total, Olt, Anul 2011, Mii persoane, 5.7
H  TRANSPORT SI DEPOZITARE, Total, Olt, Anul 2012, Mii persoane, 6.1
H  TRANSPORT SI DEPOZITARE, Total, Olt, Anul 2013, Mii persoane, 5.6
H  TRANSPORT SI DEPOZITARE, Total, Valcea, Anul 2008, Mii persoane, 6.7
H  TRANSPORT SI DEPOZITARE, Total, Valcea, Anul 2009, Mii persoane, 6.8
H  TRANSPORT SI DEPOZITARE, Total, Valcea, Anul 2010, Mii persoane, 7.5
H  TRANSPORT SI DEPOZITARE, Total, Valcea, Anul 2011, Mii persoane, 7.7
H  TRANSPORT SI DEPOZITARE, Total, Valcea, Anul 2012, Mii persoane, 8
H  TRANSPORT SI DEPOZITARE, Total, Valcea, Anul 2013, Mii persoane, 7.6
H  TRANSPORT SI DEPOZITARE, Total, Regiunea VEST, Anul 2008, Mii persoane, 41.8
H  TRANSPORT SI DEPOZITARE, Total, Regiunea VEST, Anul 2009, Mii persoane, 41.6
H  TRANSPORT SI DEPOZITARE, Total, Regiunea VEST, Anul 2010, Mii persoane, 43
H  TRANSPORT SI DEPOZITARE, Total, Regiunea VEST, Anul 2011, Mii persoane, 43.3
H  TRANSPORT SI DEPOZITARE, Total, Regiunea VEST, Anul 2012, Mii persoane, 44.7
H  TRANSPORT SI DEPOZITARE, Total, Regiunea VEST, Anul 2013, Mii persoane, 43.4
H  TRANSPORT SI DEPOZITARE, Total, Arad, Anul 2008, Mii persoane, 11.4
H  TRANSPORT SI DEPOZITARE, Total, Arad, Anul 2009, Mii persoane, 11.1
H  TRANSPORT SI DEPOZITARE, Total, Arad, Anul 2010, Mii persoane, 11.2
H  TRANSPORT SI DEPOZITARE, Total, Arad, Anul 2011, Mii persoane, 11.2
H  TRANSPORT SI DEPOZITARE, Total, Arad, Anul 2012, Mii persoane, 12.1
H  TRANSPORT SI DEPOZITARE, Total, Arad, Anul 2013, Mii persoane, 12.2
H  TRANSPORT SI DEPOZITARE, Total, Caras-Severin, Anul 2008, Mii persoane, 5.8
H  TRANSPORT SI DEPOZITARE, Total, Caras-Severin, Anul 2009, Mii persoane, 5.9
H  TRANSPORT SI DEPOZITARE, Total, Caras-Severin, Anul 2010, Mii persoane, 6.1
H  TRANSPORT SI DEPOZITARE, Total, Caras-Severin, Anul 2011, Mii persoane, 5.7
H  TRANSPORT SI DEPOZITARE, Total, Caras-Severin, Anul 2012, Mii persoane, 6.1
H  TRANSPORT SI DEPOZITARE, Total, Caras-Severin, Anul 2013, Mii persoane, 5.9
H  TRANSPORT SI DEPOZITARE, Total, Hunedoara, Anul 2008, Mii persoane, 8.7
H  TRANSPORT SI DEPOZITARE, Total, Hunedoara, Anul 2009, Mii persoane, 8.5
H  TRANSPORT SI DEPOZITARE, Total, Hunedoara, Anul 2010, Mii persoane, 8.8
H  TRANSPORT SI DEPOZITARE, Total, Hunedoara, Anul 2011, Mii persoane, 8.8
H  TRANSPORT SI DEPOZITARE, Total, Hunedoara, Anul 2012, Mii persoane, 8.3
H  TRANSPORT SI DEPOZITARE, Total, Hunedoara, Anul 2013, Mii persoane, 7.7
H  TRANSPORT SI DEPOZITARE, Total, Timis, Anul 2008, Mii persoane, 15.9
H  TRANSPORT SI DEPOZITARE, Total, Timis, Anul 2009, Mii persoane, 16.1
H  TRANSPORT SI DEPOZITARE, Total, Timis, Anul 2010, Mii persoane, 16.9
H  TRANSPORT SI DEPOZITARE, Total, Timis, Anul 2011, Mii persoane, 17.6
H  TRANSPORT SI DEPOZITARE, Total, Timis, Anul 2012, Mii persoane, 18.2
H  TRANSPORT SI DEPOZITARE, Total, Timis, Anul 2013, Mii persoane, 17.6
H  TRANSPORT SI DEPOZITARE, Feminin, TOTAL, Anul 2008, Mii persoane, 82.1
H  TRANSPORT SI DEPOZITARE, Feminin, TOTAL, Anul 2009, Mii persoane, 79.5
H  TRANSPORT SI DEPOZITARE, Feminin, TOTAL, Anul 2010, Mii persoane, 71.6
H  TRANSPORT SI DEPOZITARE, Feminin, TOTAL, Anul 2011, Mii persoane, 73.2
H  TRANSPORT SI DEPOZITARE, Feminin, TOTAL, Anul 2012, Mii persoane, 69.9
H  TRANSPORT SI DEPOZITARE, Feminin, TOTAL, Anul 2013, Mii persoane, 66.5
H  TRANSPORT SI DEPOZITARE, Feminin, MACROREGIUNEA UNU, Anul 2008, Mii persoane, 20.2
H  TRANSPORT SI DEPOZITARE, Feminin, MACROREGIUNEA UNU, Anul 2009, Mii persoane, 18.8
H  TRANSPORT SI DEPOZITARE, Feminin, MACROREGIUNEA UNU, Anul 2010, Mii persoane, 16.3
H  TRANSPORT SI DEPOZITARE, Feminin, MACROREGIUNEA UNU, Anul 2011, Mii persoane, 17
H  TRANSPORT SI DEPOZITARE, Feminin, MACROREGIUNEA UNU, Anul 2012, Mii persoane, 15.8
H  TRANSPORT SI DEPOZITARE, Feminin, MACROREGIUNEA UNU, Anul 2013, Mii persoane, 13.9
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea NORD-VEST, Anul 2008, Mii persoane, 10.6
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea NORD-VEST, Anul 2009, Mii persoane, 9.5
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea NORD-VEST, Anul 2010, Mii persoane, 8.3
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea NORD-VEST, Anul 2011, Mii persoane, 9
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea NORD-VEST, Anul 2012, Mii persoane, 8
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea NORD-VEST, Anul 2013, Mii persoane, 6.9
H  TRANSPORT SI DEPOZITARE, Feminin, Bihor, Anul 2008, Mii persoane, 2
H  TRANSPORT SI DEPOZITARE, Feminin, Bihor, Anul 2009, Mii persoane, 1.9
H  TRANSPORT SI DEPOZITARE, Feminin, Bihor, Anul 2010, Mii persoane, 1.7
H  TRANSPORT SI DEPOZITARE, Feminin, Bihor, Anul 2011, Mii persoane, 2
H  TRANSPORT SI DEPOZITARE, Feminin, Bihor, Anul 2012, Mii persoane, 1.8
H  TRANSPORT SI DEPOZITARE, Feminin, Bihor, Anul 2013, Mii persoane, 1.5
H  TRANSPORT SI DEPOZITARE, Feminin, Bistrita-Nasaud, Anul 2008, Mii persoane, .8
H  TRANSPORT SI DEPOZITARE, Feminin, Bistrita-Nasaud, Anul 2009, Mii persoane, .8
H  TRANSPORT SI DEPOZITARE, Feminin, Bistrita-Nasaud, Anul 2010, Mii persoane, .7
H  TRANSPORT SI DEPOZITARE, Feminin, Bistrita-Nasaud, Anul 2011, Mii persoane, .7
H  TRANSPORT SI DEPOZITARE, Feminin, Bistrita-Nasaud, Anul 2012, Mii persoane, .6
H  TRANSPORT SI DEPOZITARE, Feminin, Bistrita-Nasaud, Anul 2013, Mii persoane, .8
H  TRANSPORT SI DEPOZITARE, Feminin, Cluj, Anul 2008, Mii persoane, 4.5
H  TRANSPORT SI DEPOZITARE, Feminin, Cluj, Anul 2009, Mii persoane, 3.2
H  TRANSPORT SI DEPOZITARE, Feminin, Cluj, Anul 2010, Mii persoane, 3.1
H  TRANSPORT SI DEPOZITARE, Feminin, Cluj, Anul 2011, Mii persoane, 3.2
H  TRANSPORT SI DEPOZITARE, Feminin, Cluj, Anul 2012, Mii persoane, 2.8
H  TRANSPORT SI DEPOZITARE, Feminin, Cluj, Anul 2013, Mii persoane, 2.3
H  TRANSPORT SI DEPOZITARE, Feminin, Maramures, Anul 2008, Mii persoane, 1.4
H  TRANSPORT SI DEPOZITARE, Feminin, Maramures, Anul 2009, Mii persoane, 1.8
H  TRANSPORT SI DEPOZITARE, Feminin, Maramures, Anul 2010, Mii persoane, 1.2
H  TRANSPORT SI DEPOZITARE, Feminin, Maramures, Anul 2011, Mii persoane, 1.3
H  TRANSPORT SI DEPOZITARE, Feminin, Maramures, Anul 2012, Mii persoane, 1.2
H  TRANSPORT SI DEPOZITARE, Feminin, Maramures, Anul 2013, Mii persoane, .9
H  TRANSPORT SI DEPOZITARE, Feminin, Satu Mare, Anul 2008, Mii persoane, 1.1
H  TRANSPORT SI DEPOZITARE, Feminin, Satu Mare, Anul 2009, Mii persoane, 1.1
H  TRANSPORT SI DEPOZITARE, Feminin, Satu Mare, Anul 2010, Mii persoane, .9
H  TRANSPORT SI DEPOZITARE, Feminin, Satu Mare, Anul 2011, Mii persoane, .9
H  TRANSPORT SI DEPOZITARE, Feminin, Satu Mare, Anul 2012, Mii persoane, .9
H  TRANSPORT SI DEPOZITARE, Feminin, Satu Mare, Anul 2013, Mii persoane, .8
H  TRANSPORT SI DEPOZITARE, Feminin, Salaj, Anul 2008, Mii persoane, .8
H  TRANSPORT SI DEPOZITARE, Feminin, Salaj, Anul 2009, Mii persoane, .7
H  TRANSPORT SI DEPOZITARE, Feminin, Salaj, Anul 2010, Mii persoane, .7
H  TRANSPORT SI DEPOZITARE, Feminin, Salaj, Anul 2011, Mii persoane, .9
H  TRANSPORT SI DEPOZITARE, Feminin, Salaj, Anul 2012, Mii persoane, .7
H  TRANSPORT SI DEPOZITARE, Feminin, Salaj, Anul 2013, Mii persoane, .6
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea CENTRU, Anul 2008, Mii persoane, 9.6
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea CENTRU, Anul 2009, Mii persoane, 9.3
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea CENTRU, Anul 2010, Mii persoane, 8
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea CENTRU, Anul 2011, Mii persoane, 8
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea CENTRU, Anul 2012, Mii persoane, 7.8
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea CENTRU, Anul 2013, Mii persoane, 7
H  TRANSPORT SI DEPOZITARE, Feminin, Alba, Anul 2008, Mii persoane, 1.2
H  TRANSPORT SI DEPOZITARE, Feminin, Alba, Anul 2009, Mii persoane, 1
H  TRANSPORT SI DEPOZITARE, Feminin, Alba, Anul 2010, Mii persoane, .9
H  TRANSPORT SI DEPOZITARE, Feminin, Alba, Anul 2011, Mii persoane, 1
H  TRANSPORT SI DEPOZITARE, Feminin, Alba, Anul 2012, Mii persoane, 1
H  TRANSPORT SI DEPOZITARE, Feminin, Alba, Anul 2013, Mii persoane, .9
H  TRANSPORT SI DEPOZITARE, Feminin, Brasov, Anul 2008, Mii persoane, 3
H  TRANSPORT SI DEPOZITARE, Feminin, Brasov, Anul 2009, Mii persoane, 3.2
H  TRANSPORT SI DEPOZITARE, Feminin, Brasov, Anul 2010, Mii persoane, 2.8
H  TRANSPORT SI DEPOZITARE, Feminin, Brasov, Anul 2011, Mii persoane, 2.5
H  TRANSPORT SI DEPOZITARE, Feminin, Brasov, Anul 2012, Mii persoane, 2.3
H  TRANSPORT SI DEPOZITARE, Feminin, Brasov, Anul 2013, Mii persoane, 2.1
H  TRANSPORT SI DEPOZITARE, Feminin, Covasna, Anul 2008, Mii persoane, .5
H  TRANSPORT SI DEPOZITARE, Feminin, Covasna, Anul 2009, Mii persoane, .5
H  TRANSPORT SI DEPOZITARE, Feminin, Covasna, Anul 2010, Mii persoane, .6
H  TRANSPORT SI DEPOZITARE, Feminin, Covasna, Anul 2011, Mii persoane, .5
H  TRANSPORT SI DEPOZITARE, Feminin, Covasna, Anul 2012, Mii persoane, .5
H  TRANSPORT SI DEPOZITARE, Feminin, Covasna, Anul 2013, Mii persoane, .5
H  TRANSPORT SI DEPOZITARE, Feminin, Harghita, Anul 2008, Mii persoane, .8
H  TRANSPORT SI DEPOZITARE, Feminin, Harghita, Anul 2009, Mii persoane, .7
H  TRANSPORT SI DEPOZITARE, Feminin, Harghita, Anul 2010, Mii persoane, .6
H  TRANSPORT SI DEPOZITARE, Feminin, Harghita, Anul 2011, Mii persoane, .7
H  TRANSPORT SI DEPOZITARE, Feminin, Harghita, Anul 2012, Mii persoane, .6
H  TRANSPORT SI DEPOZITARE, Feminin, Harghita, Anul 2013, Mii persoane, .4
H  TRANSPORT SI DEPOZITARE, Feminin, Mures, Anul 2008, Mii persoane, 2.1
H  TRANSPORT SI DEPOZITARE, Feminin, Mures, Anul 2009, Mii persoane, 1.9
H  TRANSPORT SI DEPOZITARE, Feminin, Mures, Anul 2010, Mii persoane, 1.5
H  TRANSPORT SI DEPOZITARE, Feminin, Mures, Anul 2011, Mii persoane, 1.6
H  TRANSPORT SI DEPOZITARE, Feminin, Mures, Anul 2012, Mii persoane, 1.8
H  TRANSPORT SI DEPOZITARE, Feminin, Mures, Anul 2013, Mii persoane, 1.4
H  TRANSPORT SI DEPOZITARE, Feminin, Sibiu, Anul 2008, Mii persoane, 2
H  TRANSPORT SI DEPOZITARE, Feminin, Sibiu, Anul 2009, Mii persoane, 2
H  TRANSPORT SI DEPOZITARE, Feminin, Sibiu, Anul 2010, Mii persoane, 1.6
H  TRANSPORT SI DEPOZITARE, Feminin, Sibiu, Anul 2011, Mii persoane, 1.7
H  TRANSPORT SI DEPOZITARE, Feminin, Sibiu, Anul 2012, Mii persoane, 1.6
H  TRANSPORT SI DEPOZITARE, Feminin, Sibiu, Anul 2013, Mii persoane, 1.7
H  TRANSPORT SI DEPOZITARE, Feminin, MACROREGIUNEA DOI, Anul 2008, Mii persoane, 18.5
H  TRANSPORT SI DEPOZITARE, Feminin, MACROREGIUNEA DOI, Anul 2009, Mii persoane, 18.3
H  TRANSPORT SI DEPOZITARE, Feminin, MACROREGIUNEA DOI, Anul 2010, Mii persoane, 16.4
H  TRANSPORT SI DEPOZITARE, Feminin, MACROREGIUNEA DOI, Anul 2011, Mii persoane, 15.6
H  TRANSPORT SI DEPOZITARE, Feminin, MACROREGIUNEA DOI, Anul 2012, Mii persoane, 15
H  TRANSPORT SI DEPOZITARE, Feminin, MACROREGIUNEA DOI, Anul 2013, Mii persoane, 15.1
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea NORD-EST, Anul 2008, Mii persoane, 7
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea NORD-EST, Anul 2009, Mii persoane, 6.8
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea NORD-EST, Anul 2010, Mii persoane, 6.4
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea NORD-EST, Anul 2011, Mii persoane, 5.8
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea NORD-EST, Anul 2012, Mii persoane, 5.7
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea NORD-EST, Anul 2013, Mii persoane, 5.6
H  TRANSPORT SI DEPOZITARE, Feminin, Bacau, Anul 2008, Mii persoane, 1.4
H  TRANSPORT SI DEPOZITARE, Feminin, Bacau, Anul 2009, Mii persoane, 1.4
H  TRANSPORT SI DEPOZITARE, Feminin, Bacau, Anul 2010, Mii persoane, 1.3
H  TRANSPORT SI DEPOZITARE, Feminin, Bacau, Anul 2011, Mii persoane, 1.3
H  TRANSPORT SI DEPOZITARE, Feminin, Bacau, Anul 2012, Mii persoane, 1.2
H  TRANSPORT SI DEPOZITARE, Feminin, Bacau, Anul 2013, Mii persoane, 1.3
H  TRANSPORT SI DEPOZITARE, Feminin, Botosani, Anul 2008, Mii persoane, .5
H  TRANSPORT SI DEPOZITARE, Feminin, Botosani, Anul 2009, Mii persoane, .5
H  TRANSPORT SI DEPOZITARE, Feminin, Botosani, Anul 2010, Mii persoane, .5
H  TRANSPORT SI DEPOZITARE, Feminin, Botosani, Anul 2011, Mii persoane, .4
H  TRANSPORT SI DEPOZITARE, Feminin, Botosani, Anul 2012, Mii persoane, .4
H  TRANSPORT SI DEPOZITARE, Feminin, Botosani, Anul 2013, Mii persoane, .4
H  TRANSPORT SI DEPOZITARE, Feminin, Iasi, Anul 2008, Mii persoane, 2
H  TRANSPORT SI DEPOZITARE, Feminin, Iasi, Anul 2009, Mii persoane, 1.9
H  TRANSPORT SI DEPOZITARE, Feminin, Iasi, Anul 2010, Mii persoane, 1.8
H  TRANSPORT SI DEPOZITARE, Feminin, Iasi, Anul 2011, Mii persoane, 1.6
H  TRANSPORT SI DEPOZITARE, Feminin, Iasi, Anul 2012, Mii persoane, 1.6
H  TRANSPORT SI DEPOZITARE, Feminin, Iasi, Anul 2013, Mii persoane, 1.6
H  TRANSPORT SI DEPOZITARE, Feminin, Neamt, Anul 2008, Mii persoane, .8
H  TRANSPORT SI DEPOZITARE, Feminin, Neamt, Anul 2009, Mii persoane, .8
H  TRANSPORT SI DEPOZITARE, Feminin, Neamt, Anul 2010, Mii persoane, .7
H  TRANSPORT SI DEPOZITARE, Feminin, Neamt, Anul 2011, Mii persoane, .7
H  TRANSPORT SI DEPOZITARE, Feminin, Neamt, Anul 2012, Mii persoane, .8
H  TRANSPORT SI DEPOZITARE, Feminin, Neamt, Anul 2013, Mii persoane, .7
H  TRANSPORT SI DEPOZITARE, Feminin, Suceava, Anul 2008, Mii persoane, 1.6
H  TRANSPORT SI DEPOZITARE, Feminin, Suceava, Anul 2009, Mii persoane, 1.6
H  TRANSPORT SI DEPOZITARE, Feminin, Suceava, Anul 2010, Mii persoane, 1.4
H  TRANSPORT SI DEPOZITARE, Feminin, Suceava, Anul 2011, Mii persoane, 1.2
H  TRANSPORT SI DEPOZITARE, Feminin, Suceava, Anul 2012, Mii persoane, 1.1
H  TRANSPORT SI DEPOZITARE, Feminin, Suceava, Anul 2013, Mii persoane, 1.1
H  TRANSPORT SI DEPOZITARE, Feminin, Vaslui, Anul 2008, Mii persoane, .7
H  TRANSPORT SI DEPOZITARE, Feminin, Vaslui, Anul 2009, Mii persoane, .6
H  TRANSPORT SI DEPOZITARE, Feminin, Vaslui, Anul 2010, Mii persoane, .7
H  TRANSPORT SI DEPOZITARE, Feminin, Vaslui, Anul 2011, Mii persoane, .6
H  TRANSPORT SI DEPOZITARE, Feminin, Vaslui, Anul 2012, Mii persoane, .6
H  TRANSPORT SI DEPOZITARE, Feminin, Vaslui, Anul 2013, Mii persoane, .5
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea SUD-EST, Anul 2008, Mii persoane, 11.5
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea SUD-EST, Anul 2009, Mii persoane, 11.5
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea SUD-EST, Anul 2010, Mii persoane, 10
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea SUD-EST, Anul 2011, Mii persoane, 9.8
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea SUD-EST, Anul 2012, Mii persoane, 9.3
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea SUD-EST, Anul 2013, Mii persoane, 9.5
H  TRANSPORT SI DEPOZITARE, Feminin, Braila, Anul 2008, Mii persoane, .9
H  TRANSPORT SI DEPOZITARE, Feminin, Braila, Anul 2009, Mii persoane, .9
H  TRANSPORT SI DEPOZITARE, Feminin, Braila, Anul 2010, Mii persoane, .7
H  TRANSPORT SI DEPOZITARE, Feminin, Braila, Anul 2011, Mii persoane, .9
H  TRANSPORT SI DEPOZITARE, Feminin, Braila, Anul 2012, Mii persoane, .7
H  TRANSPORT SI DEPOZITARE, Feminin, Braila, Anul 2013, Mii persoane, .8
H  TRANSPORT SI DEPOZITARE, Feminin, Buzau, Anul 2008, Mii persoane, .7
H  TRANSPORT SI DEPOZITARE, Feminin, Buzau, Anul 2009, Mii persoane, .9
H  TRANSPORT SI DEPOZITARE, Feminin, Buzau, Anul 2010, Mii persoane, .7
H  TRANSPORT SI DEPOZITARE, Feminin, Buzau, Anul 2011, Mii persoane, .7
H  TRANSPORT SI DEPOZITARE, Feminin, Buzau, Anul 2012, Mii persoane, .8
H  TRANSPORT SI DEPOZITARE, Feminin, Buzau, Anul 2013, Mii persoane, .7
H  TRANSPORT SI DEPOZITARE, Feminin, Constanta, Anul 2008, Mii persoane, 5.9
H  TRANSPORT SI DEPOZITARE, Feminin, Constanta, Anul 2009, Mii persoane, 6.1
H  TRANSPORT SI DEPOZITARE, Feminin, Constanta, Anul 2010, Mii persoane, 5.4
H  TRANSPORT SI DEPOZITARE, Feminin, Constanta, Anul 2011, Mii persoane, 4.8
H  TRANSPORT SI DEPOZITARE, Feminin, Constanta, Anul 2012, Mii persoane, 4.6
H  TRANSPORT SI DEPOZITARE, Feminin, Constanta, Anul 2013, Mii persoane, 4.8
H  TRANSPORT SI DEPOZITARE, Feminin, Galati, Anul 2008, Mii persoane, 2.5
H  TRANSPORT SI DEPOZITARE, Feminin, Galati, Anul 2009, Mii persoane, 2.3
H  TRANSPORT SI DEPOZITARE, Feminin, Galati, Anul 2010, Mii persoane, 2
H  TRANSPORT SI DEPOZITARE, Feminin, Galati, Anul 2011, Mii persoane, 2.1
H  TRANSPORT SI DEPOZITARE, Feminin, Galati, Anul 2012, Mii persoane, 2
H  TRANSPORT SI DEPOZITARE, Feminin, Galati, Anul 2013, Mii persoane, 2
H  TRANSPORT SI DEPOZITARE, Feminin, Tulcea, Anul 2008, Mii persoane, .8
H  TRANSPORT SI DEPOZITARE, Feminin, Tulcea, Anul 2009, Mii persoane, .7
H  TRANSPORT SI DEPOZITARE, Feminin, Tulcea, Anul 2010, Mii persoane, .7
H  TRANSPORT SI DEPOZITARE, Feminin, Tulcea, Anul 2011, Mii persoane, .7
H  TRANSPORT SI DEPOZITARE, Feminin, Tulcea, Anul 2012, Mii persoane, .6
H  TRANSPORT SI DEPOZITARE, Feminin, Tulcea, Anul 2013, Mii persoane, .6
H  TRANSPORT SI DEPOZITARE, Feminin, Vrancea, Anul 2008, Mii persoane, .7
H  TRANSPORT SI DEPOZITARE, Feminin, Vrancea, Anul 2009, Mii persoane, .6
H  TRANSPORT SI DEPOZITARE, Feminin, Vrancea, Anul 2010, Mii persoane, .5
H  TRANSPORT SI DEPOZITARE, Feminin, Vrancea, Anul 2011, Mii persoane, .6
H  TRANSPORT SI DEPOZITARE, Feminin, Vrancea, Anul 2012, Mii persoane, .6
H  TRANSPORT SI DEPOZITARE, Feminin, Vrancea, Anul 2013, Mii persoane, .6
H  TRANSPORT SI DEPOZITARE, Feminin, MACROREGIUNEA TREI, Anul 2008, Mii persoane, 30
H  TRANSPORT SI DEPOZITARE, Feminin, MACROREGIUNEA TREI, Anul 2009, Mii persoane, 29.3
H  TRANSPORT SI DEPOZITARE, Feminin, MACROREGIUNEA TREI, Anul 2010, Mii persoane, 26.8
H  TRANSPORT SI DEPOZITARE, Feminin, MACROREGIUNEA TREI, Anul 2011, Mii persoane, 28.9
H  TRANSPORT SI DEPOZITARE, Feminin, MACROREGIUNEA TREI, Anul 2012, Mii persoane, 28.1
H  TRANSPORT SI DEPOZITARE, Feminin, MACROREGIUNEA TREI, Anul 2013, Mii persoane, 26.5
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea SUD-MUNTENIA, Anul 2008, Mii persoane, 8
H  TRANSPORT SI DEPOZITARE, Feminin, Regiunea SUD-MUNTENIA, Anul 2009, Mii persoane, 8.5
